Module_Code,Course_Learning_Material,Course_Level,Module,Duration,Keywords_Tags_Skills_Interests_Categories,Links,
CLMML00,Introduction to Machine Learning,Beginner,Introduction to Machine Learning,20.0 minutes,machine learning,https://developers.google.com/machine-learning/intro-to-ml,Introduction to Machine Learning ( 20.0 minutes Beginner Level  course)  [ Keyword - machine learning ]  Resource Link :https://developers.google.com/machine-learning/intro-to-ml
CLMML00,Introduction to Machine Learning,Beginner,What is Machine Learning,20.0 minutes,machine learning,https://developers.google.com/machine-learning/intro-to-ml/what-is-ml,What is Machine Learning ( 20.0 minutes Beginner Level  course)  [ Keyword - machine learning ]  Resource Link :https://developers.google.com/machine-learning/intro-to-ml/what-is-ml
CLMML00,Introduction to Machine Learning,Beginner,Supervised Learning,20.0 minutes,supervised learning,https://developers.google.com/machine-learning/intro-to-ml/supervised,Supervised Learning ( 20.0 minutes Beginner Level  course)  [ Keyword - supervised learning ]  Resource Link :https://developers.google.com/machine-learning/intro-to-ml/supervised
CLMML01,Machine Learning Crash Course (Foundation),Intermediate,Introduction to ML,3.0 minutes,machine learning,https://developers.google.com/machine-learning/crash-course/ml-intro,Introduction to ML ( 3.0 minutes Intermediate Level  course)  [ Keyword - machine learning ]  Resource Link :https://developers.google.com/machine-learning/crash-course/ml-intro
CLMML01,Machine Learning Crash Course (Foundation),Intermediate,Framing - Video Lecture,,problem statement,https://developers.google.com/machine-learning/crash-course/descending-into-ml/video-lecture,Framing - Video Lecture (  Intermediate Level  course)  [ Keyword - problem statement ]  Resource Link :https://developers.google.com/machine-learning/crash-course/descending-into-ml/video-lecture
CLMML01,Machine Learning Crash Course (Foundation),Intermediate,Framing - Key ML Terminology,15.0 minutes,ml terminologies,https://developers.google.com/machine-learning/crash-course/framing/ml-terminology,Framing - Key ML Terminology ( 15.0 minutes Intermediate Level  course)  [ Keyword - ml terminologies ]  Resource Link :https://developers.google.com/machine-learning/crash-course/framing/ml-terminology
CLMML01,Machine Learning Crash Course (Foundation),Intermediate,Descending into ML - Video Lecture,,machine learning,https://developers.google.com/machine-learning/crash-course/descending-into-ml/video-lecture,Descending into ML - Video Lecture (  Intermediate Level  course)  [ Keyword - machine learning ]  Resource Link :https://developers.google.com/machine-learning/crash-course/descending-into-ml/video-lecture
CLMML01,Machine Learning Crash Course (Foundation),Intermediate,Descending into ML - Linear Regression,,"machine learning, linear regrression",https://developers.google.com/machine-learning/crash-course/descending-into-ml/linear-regression,"Descending into ML - Linear Regression (  Intermediate Level  course)  [ Keyword - machine learning, linear regrression ]  Resource Link :https://developers.google.com/machine-learning/crash-course/descending-into-ml/linear-regression"
CLMML01,Machine Learning Crash Course (Foundation),Intermediate,Descending into ML - Training and Loss,,"machine learning, training, loss",https://developers.google.com/machine-learning/crash-course/descending-into-ml/training-and-loss,"Descending into ML - Training and Loss (  Intermediate Level  course)  [ Keyword - machine learning, training, loss ]  Resource Link :https://developers.google.com/machine-learning/crash-course/descending-into-ml/training-and-loss"
CLMML01,Machine Learning Crash Course (Foundation),Intermediate,Reducing Loss - Video Lecture,20.0 minutes,reducing loss,https://developers.google.com/machine-learning/crash-course/reducing-loss/video-lecture,Reducing Loss - Video Lecture ( 20.0 minutes Intermediate Level  course)  [ Keyword - reducing loss ]  Resource Link :https://developers.google.com/machine-learning/crash-course/reducing-loss/video-lecture
